OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
6	1	6_L25.avi	26295	6_R26.avi	25383	14.62296	1	11.02714	100.63493	3.72515	7.47689	1898.90355	6.95733	33.37361	3.68688	-215.26118	-81.05062	-1884.92125	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	2	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	119.14084	1.88442	8.19963	1932.55717	5.96116	11.55987	1.95450	-200.67408	-3.49177	-1922.10690	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	3	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	132.96421	2.85254	12.60300	1939.51263	17.96531	20.14207	3.38379	597.62561	-26.78153	-1844.94868	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	4	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	123.77923	3.07010	3.17348	1814.51273	19.27636	29.10205	2.79615	-598.53408	-24.02347	-1712.78611	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	5	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	119.47265	2.30039	11.10516	1853.43634	19.36169	13.42153	0.92531	605.97012	-101.85422	-1748.61436	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	6	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	83.67994	2.77856	12.43399	2067.69989	25.48133	3.45124	3.47563	882.32352	-113.23057	-1866.56553	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	7	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	110.25054	1.08325	6.39520	1726.24021	2.33953	0.14390	1.53345	-38.53503	-58.99720	-1724.80133	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	8	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	110.59009	1.99722	2.76669	1791.63737	15.18929	12.91923	11.86026	-463.33842	-75.34637	-1729.04740	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	9	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	108.17970	3.17074	5.44144	1757.11702	27.11090	39.95616	8.82076	-797.63696	-70.46447	-1564.05571	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	10	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	109.27858	1.48017	9.33264	1915.44243	7.76511	4.91091	4.96244	235.09808	-108.19540	-1897.87838	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	11	6_L25.avi	26296	6_R26.avi	25384	14.62351	1	11.02769	95.63369	1.48637	10.73139	1889.58173	3.08993	8.25326	3.98886	23.97458	-98.99293	-1886.83458	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	30	6_L25.avi	26314	6_R26.avi	25402	14.63352	1	11.03770	92.89703	2.77440	13.37678	2025.80794	24.26875	10.37544	1.32869	825.71772	-107.15660	-1846.78248	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	31	6_L25.avi	26320	6_R26.avi	25408	14.63686	1	11.04104	128.37409	2.20875	8.67275	2012.33308	0.39517	14.91171	12.14111	-2.46648	-13.65793	-2012.28522	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	32	6_L25.avi	26320	6_R26.avi	25408	14.63686	1	11.04104	119.76050	1.23986	7.78247	1869.77439	1.57108	3.88141	0.75597	-7.76328	-50.67263	-1869.07150	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	33	6_L25.avi	26320	6_R26.avi	25408	14.63686	1	11.04104	115.29918	2.25884	11.36370	1974.19874	18.68431	5.75382	0.72413	631.92907	-25.45473	-1870.15464	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	34	6_L25.avi	26320	6_R26.avi	25408	14.63686	1	11.04104	119.68528	2.45440	11.56244	2091.47778	18.91809	3.39542	4.95698	676.23349	-50.15266	-1978.50254	Carangidae	Pseudocaranx	spp		1	AD	Passing			
6	38	6_L25.avi	83008	6_R26.avi	82096	46.16172	1	42.56590	178.51773	2.13131	2.92404	1386.37988	23.11240	39.57493	2.64177	-499.92213	-215.02564	-1275.10432	Platycephalidae	Platycephalus	spp		1	AD	Passing			
6	39	6_L25.avi	83280	6_R26.avi	82368	46.31298	1	42.71716	186.16679	0.85833	11.28293	1190.01576	14.94313	4.00220	51.52837	-107.13290	-287.54848	-1149.77211	Platycephalidae	Platycephalus	spp		1	AD	Passing			
7	1	7_L11.avi	29110	7_R12.avi	29342	16.18841	1	14.34379	144.60033	1.81510	6.18703	1288.34352	19.20252	37.41348	4.98525	259.79960	334.76177	-1216.66254	Carangidae	Pseudocaranx	spp		1	AD	Passing			
7	2	7_L11.avi	29132	7_R12.avi	29364	16.20065	1	14.35602	144.19446	1.83338	5.48484	1186.01348	17.60842	48.32453	9.29575	63.11017	353.18667	-1130.44427	Carangidae	Pseudocaranx	spp		1	AD	Passing			
7	3	7_L11.avi	32382	7_R12.avi	32614	18.00801	1	16.16339	174.49536	2.32220	7.75231	1750.79519	5.64807	21.98290	4.19155	-30.91370	-169.51360	-1742.29541	Platycephalidae	Platycephalus	spp		1	AD	Passing			
7	4	7_L11.avi	71291	7_R12.avi	71523	39.64576	1	37.80113	788.59645	2.84298	8.29617	2383.66692	19.51400	0.36232	9.85950	570.58255	555.35861	-2246.74884	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
11	1	11_L13.avi	18409	11_R14.avi	18916	10.23746	1	5.64120	164.69911	2.10772	2.98668	1681.93999	22.31057	14.95191	0.54865	-615.31183	170.54519	-1556.02950	Carangidae	Pseudocaranx	spp		1	AD	Passing			
11	2	11_L13.avi	18495	11_R14.avi	19002	10.28529	1	5.68902	155.47865	2.85897	1.39533	1770.40879	7.11057	29.39592	8.24336	78.76079	204.50697	-1756.79280	Carangidae	Pseudocaranx	spp		1	AD	Passing			
11	3	11_L13.avi	67854	11_R14.avi	68361	37.73440	1	33.13814	810.12671	6.81894	2.67669	2604.38473	13.85261	32.64830	0.77211	-622.53108	-35.71625	-2528.63585	Triakidae	Mustelus	antarcticus	37017001	1	AD	Passing			
2	1	2_L15.avi	20230	2_R16.avi	19988	11.25014	1	6.82071	164.94895	4.45292	5.89345	2682.99443	19.93420	13.15368	9.72201	780.07646	477.73812	-2522.24228	Carangidae	Pseudocaranx	spp		1	AD	Passing			
2	2	2_L15.avi	20302	2_R16.avi	20060	11.29018	1	6.86075	178.87571	3.03166	2.44481	1514.54364	21.82351	57.50171	11.77976	-544.27907	144.09334	-1406.00137	Carangidae	Pseudocaranx	spp		2	AD	Passing			
2	3	2_L15.avi	20304	2_R16.avi	20062	11.29129	1	6.86186	170.84782	3.20533	1.03985	1902.79891	25.37791	28.89436	21.67209	774.81574	254.41038	-1719.17992	Carangidae	Pseudocaranx	spp		1	AD	Passing			
2	4	2_L15.avi	60345	2_R16.avi	60103	33.55856	1	29.12913	419.35470	5.78852	9.05613	4435.12247	8.64425	1.61174	15.03338	648.70447	-153.39544	-4384.74214	Serranidae	Othos	dentex	37311005	1	AD	Passing			
2	5	2_L15.avi	75403	2_R16.avi	75161	41.93249	1	37.50306	395.15196	13.97638	17.82104	4285.04013	17.43133	25.36271	19.91366	-1258.23706	254.09428	-4088.25691	Labridae	Bodianus	frenchii	37384057	1	AD	Passing			
3	1	3_L15.avi	39291	3_R16.avi	39531	21.85018	1	19.42276	252.59260	9.57052	13.83912	3791.26867	13.93930	17.52867	0.22140	897.79234	-167.55160	-3679.62138	Sillaginidae	Sillago	spp		2	AD	Passing			
3	2	3_L15.avi	39390	3_R16.avi	39630	21.90524	1	19.47781	195.58145	3.93578	16.64290	3251.03273	0.75915	10.17184	4.31828	4.04845	-42.88342	-3250.74736	Sillaginidae	Sillago	spp		2	AD	Passing			
3	3	3_L15.avi	39429	3_R16.avi	39669	21.92693	1	19.49950	215.02888	7.54947	17.11580	3049.06731	7.14937	25.67932	2.38158	-353.19575	-138.76278	-3025.36099	Sillaginidae	Sillago	spp		2	AD	Passing			
3	4	3_L15.avi	39494	3_R16.avi	39734	21.96307	1	19.53565	229.00356	5.34563	13.47596	2507.35471	7.20256	27.11812	6.93262	4.24866	-314.33713	-2487.56945	Sillaginidae	Sillago	spp		2	AD	Passing			
