OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
20210308_0718-1617	0	20210303_0718-1617_TOP_0002.mp4	18162	15.67816	60	1.52736	2468.90798	334.48201	0.00000	0.00000					1	AD	Passing	check stereo distance		
20210308_0718-1617	1	20210303_0718-1617_TOP_0002.mp4	18211	15.69179	60	1.54098	2424.14724	746.69575	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
20210308_0718-1617	2	20210303_0718-1617_TOP_0002.mp4	21192	16.52067	60	2.36987	2004.80982	1276.68484	0.00000	0.00000	Ostraciidae	Aracana	aurita	37466003	1	AD	Passing			
20210308_0718-1617	3	20210303_0718-1617_TOP_0002.mp4	28865	18.65419		-1.00000	808.04908	1783.11887	0.00000	0.00000	Ostraciidae	Aracana	aurita	37466003	1	AD	Passing	ID shot		
20210308_0718-1617	4	20210303_0718-1617_TOP_0003.mp4	9428	23.71675	87	0.11150	845.22086	1821.37405	0.00000	0.00000	Apogonidae	Ostorhinchus	rueppellii	37327040	1	AD	Passing			
20210308_0718-1617	5	20210303_0718-1617_TOP_0003.mp4	10138	23.91417	87	0.30892	1891.73006	1022.29008	0.00000	0.00000	Apogonidae	Ostorhinchus	rueppellii	37327040	1	AD	Passing			
20210308_0718-1617	6	20210303_0718-1617_TOP_0003.mp4	10138	23.91417	87	0.30892	586.60123	866.82661	0.00000	0.00000	Apogonidae	Ostorhinchus	rueppellii	37327040	1	AD	Passing			
20210308_0718-1617	7	20210303_0718-1617_TOP_0003.mp4	10429	23.99508	87	0.38983	683.19018	603.00981	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
20210308_0718-1617	8	20210303_0718-1617_TOP_0003.mp4	12882	24.67715	87	1.07190	2054.28221	1644.14395	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
20210308_0718-1617	9	20210303_0718-1617_TOP_0003.mp4	12882	24.67715	87	1.07190	2136.73620	1573.47874	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
20210308_0718-1617	10	20210303_0718-1617_TOP_0003.mp4	12882	24.67715	87	1.07190	2035.43558	1495.74700	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
20210308_0718-1617	11	20210303_0718-1617_TOP_0003.mp4	12882	24.67715	87	1.07190	921.12883	998.73501	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
20210308_0718-1617	12	20210303_0718-1617_TOP_0003.mp4	12964	24.69995	87	1.09470	2015.53988	1542.07852	0.00000	0.00000	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
