Date,Sample,Time.bottom,year,month,day,date_time,Time.end,depth_m,BOSS#,Raw.hdd.number,Con.hdd.number,latitude_dd,longitude_dd,Comment,Forwards.habitat.image.exported,Downwards.habitat.image.exported,Site,Location,status,observer_count,observer_length,successful_count,successful_length,panoramic_habitat_image_saved,downward_habitat_image_saved,successful_habitat_panoramic,successful_habitat_downward,observer_habitat_panoramic,observer_habitat_downward,Video.notes,Maxn.analyst,Maxn.complete.yyyymmdd,Maxn.checker,Length.analyst,Length.complete.date.yyyymmdd,Notes
20210302,51,12:06:04,2021,03,02,2021-03-02T12:06:04:00+08:00,12:12:45,24.5,BOSS2,RAW1,CON1,-33.587,115.2134,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,no fish
20210302,53,13:17:54,2021,03,02,2021-03-02T13:17:54:00+08:00,13:23:12,16.4,BOSS2,RAW1,CON1,-33.5992,115.2197,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,54,11:34:49,2021,03,02,2021-03-02T11:34:49:00+08:00,11:40:01,23.1,BOSS2,RAW1,CON1,-33.5772,115.2115,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,
20210302,55,12:26:03,2021,03,02,2021-03-02T12:26:03:00+08:00,12:32:56,17.5,BOSS2,RAW1,CON1,-33.5917,115.2069,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,check brownfieldi + scaber
20210302,56,15:30:25,2021,03,02,2021-03-02T15:30:25:00+08:00,15:36:14,24.8,BOSS2,RAW1,CON1,-33.5702,115.2247,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,59,14:30:50,2021,03,02,2021-03-02T14:30:50:00+08:00,14:36:30,22.6,BOSS2,RAW1,CON1,-33.575,115.2262,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,"check noarlungae, lewini. Baitfish estimate of number not too good?"
20210302,61,13:54:43,2021,03,02,2021-03-02T13:54:43:00+08:00,13:59:59,19.2,BOSS2,RAW1,CON1,-33.5895,115.2215,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,"no fish, scallops"
20210302,63,10:57:01,2021,03,02,2021-03-02T10:57:01:00+08:00,,21.8,BOSS1,RAW1,CON1,-33.582,115.2022,,Top,N,,Geographe,Fished,Rachel,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Rachel,20210319,Claude,,,
20210302,64,15:59:10,2021,03,02,2021-03-02T15:59:10:00+08:00,16:05:43,25,BOSS2,RAW1,CON1,-33.5605,115.2199,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210422,,,,
20210302,65,13:27:09,2021,03,02,2021-03-02T13:27:09:00+08:00,13:33:27,16.3,BOSS2,RAW1,CON1,-33.6009,115.2278,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,no fish
20210302,66,11:08:21,2021,03,02,2021-03-02T11:08:21:00+08:00,,22.7,BOSS2,RAW1,CON1,-33.5788,115.2066,,Top,Y,,Geographe,Fished,Claude,NA,Yes,,Yes,Yes,Yes,Yes,Claude,Claude,,Claude,20210421,,,,school of tiny SUS
