opcode,latitude_dd,longitude_dd,status,date_raw,time_raw,date_time,site,location,depth_m,uwa_con_number,status_x,commonwealth_zone,state_zone,observer_count,observer_length,successful_count,successful_length,curtin_length_analyst,uwa_length_analyst,Ryan Target Species MaxN Check,Ryan Check Comments,maxn_complete_date,maxn_checker,curtin_observer,uwa_observer,left_cam,right_cam,video_notes,con_hdd_number,raw_hdd_number,forwards_habitat_image_saved,vis_in_metres,habitat_classification,length_complete_date,comment,old_dates,post_cal,inclusion_probabilities
1,-33.3635,115.2142,Fished,2014-12-10,13:20:00,2014-12-10T13:20:00+08:00,Geographe Bay,Geographe Bay,40,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley,Molly,Yes,Yes,Laura,Molly,Yes,,20200623,Brooke Gibbons & Claude,Lizzy,Hayley,13,14,Y,1,,,,,20220719,,23.06.20,,0.006974
2,-33.4405,115.101,Fished,2014-12-10,06:29:00,2014-12-10T06:29:00+08:00,Geographe Bay,Geographe Bay,40.5,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Test video ,Molly,Yes,Yes,Laura,Molly,Yes,,20220622,Brooke Gibbons & Claude,Lizzy,Test video ,15,16,y,1,,,,,20220720,,,,0.006974
3,-33.4921,115.3549,Fished,2014-12-13,08:41:00,2014-12-13T08:41:00+08:00,Geographe Bay,Geographe Bay,24.8,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Damo,Molly,Yes,,20200625,Brooke Gibbons & Claude,Lizzy,Hayley ,15,16,,3,,,,,20220720,Right out early,25.06.20,,0.006974
4,-33.3921,115.2281,Fished,2014-12-10,14:13:00,2014-12-10T14:13:00+08:00,Geographe Bay,Geographe Bay,38.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,No,Tamy,Molly,Yes,"Calibrations too bad to get any measurements or 3D points, changed successful length to 'No'",20200625,Brooke Gibbons & Claude,Lizzy,Hayley ,11,12,Y,2,,,,,20220720,,25.06.20,Y,0.006974
5,-33.3628,115.455,Fished,2014-12-11,09:43:00,2014-12-11T09:43:00+08:00,Geographe Bay,Geographe Bay,25.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,test video,Molly,Yes,Yes,Ronen,Molly,Yes,,20220622,Claude,Lizzy,test video,23,24,Y,1,,,,,20220720,,,,0.006974
6,-33.4071,115.1204,Fished,2014-12-10,07:55:00,2014-12-10T07:55:00+08:00,Geographe Bay,Geographe Bay,41.8,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Laura,Molly,Yes,,20200625,Brooke Gibbons & Claude,Lizzy,Hayley ,25,26,Y,1,,,,,20220720,,25.06.20,,0.006974
7,-33.4205,115.4457,Fished,2014-12-13,11:04:00,2014-12-13T11:04:00+08:00,Geographe Bay,Geographe Bay,23.2,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Logan,Molly,Yes,Yes,Damon,Molly,Yes,,20200819,Brooke Gibbons & Claude,Lizzy,Logan,11,12,,5,,,,,20220720,,19.08.20,Y,0.006974
9,-33.3643,115.1361,Fished,2014-12-10,10:04:00,2014-12-10T10:04:00+08:00,Geographe Bay,Geographe Bay,41.8,3,Fished,Special Purpose Zone (Mining Exclusion),NA,Molly,N/A,Yes,No,N/A,,Yes,,20220711,Claude,Lauren,Molly,25,26,R cam cut out on seabed,2,,,,,,did not film sheet,,,0.006974
10,-33.5282,115.3313,Fished,2014-12-12,10:48:00,2014-12-12T10:48:00+08:00,Geographe Bay,Geographe Bay,22.7,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,No,Ronen,Molly,Yes,,20200626,Brooke Gibbons & Claude,Lauren,Hayley ,21,22,,1,,,,,20220720,,26.06.20,,0.006974
11,-33.5712,115.2958,Fished,2014-12-12,08:59:00,2014-12-12T08:59:00+08:00,Geographe Bay,Geographe Bay,21.7,1,Fished,Multiple Use Zone,NA,Hayley ,Molly,Yes,Yes,Tamy,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley ,13,14,,2,,,,,20220720,,29.06.20,,0.006974
12,-33.404,115.2616,Fished,2014-12-10,14:00:00,2014-12-10T14:00:00+08:00,Geographe Bay,Geographe Bay,38.7,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Ronen,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley ,17,18,Y,2,,,,,20220720,,29.06.20,Y,0.006974
13,-33.4502,115.0925,Fished,2014-12-09,13:41:00,2014-12-09T13:41:00+08:00,Geographe Bay,Geographe Bay,42.4,1,Fished,Special Purpose Zone (Mining Exclusion),NA,Hayley ,Molly,Yes,Yes,Ronen,Molly,Yes,,20200629,Brooke Gibbons & Claude,Lauren,Hayley ,21,22,Y,1,,,,,20220720,"BLUE HOUSING, FACING UP A BIT, CHECK",29.06.20,Y,0.006974
