"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","state.zone","status"
"2007-03_Capes.MF_stereoBRUVs","MF-GB018",-33.60790427,115.1973991,"20070302","11:23:00","Geographe.Bay","Geographe.Bay","13",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB019",-33.6076042,115.2028047,"20070302","12:56:00","Geographe.Bay","Geographe.Bay","13",NA,"Yes","No",NA,NA,NA,"Sanctuary Zone (IUCN VI)","No-take"
"2007-03_Capes.MF_stereoBRUVs","MF-GB036",-33.59150085,115.2475977,"20070302","13:34:00","Geographe.Bay","Geographe.Bay","18",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB037",-33.59039751,115.2511973,"20070302","13:22:00","Geographe.Bay","Geographe.Bay","17",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB043",-33.5917028,115.1518016,"20070302","15:50:00","Geographe.Bay","Geographe.Bay","17",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB044",-33.57129911,115.1604992,"20070302","15:26:00","Geographe.Bay","Geographe.Bay","25",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB047",-33.59060326,115.1982978,"20070302","13:04:00","Geographe.Bay","Geographe.Bay","19",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB057",-33.57690392,115.1140983,"20070303","08:06:00","Geographe.Bay","Geographe.Bay","18",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB058",-33.57589923,115.1179985,"20070303","08:57:00","Geographe.Bay","Geographe.Bay","19",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB061",-33.58139618,115.1590998,"20070302","16:02:00","Geographe.Bay","Geographe.Bay","22",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB064",-33.58179718,115.1880948,"20070302","16:36:00","Geographe.Bay","Geographe.Bay","22",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB074",-33.57319811,115.1164951,"20070303","09:02:00","Geographe.Bay","Geographe.Bay","20",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB077",-33.56839999,115.1378959,"20070302","15:40:00","Geographe.Bay","Geographe.Bay","25",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB080",-33.57639775,115.2168001,"20070302","14:11:00","Geographe.Bay","Geographe.Bay","23",NA,"Yes","No",NA,NA,"Habitat Protection Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB091",-33.55389636,115.1479006,"20070303","09:17:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB101",-33.56579717,115.1940952,"20070302","15:14:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB104",-33.56809583,115.1537052,"20070302","15:33:00","Geographe.Bay","Geographe.Bay","26",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB109",-33.55410455,115.0939042,"20070303","09:52:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","No",NA,NA,NA,"Sanctuary Zone (IUCN VI)","No-take"
"2007-03_Capes.MF_stereoBRUVs","MF-GB112",-33.568404,115.2335002,"20070302","13:44:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB113",-33.56969737,115.2362963,"20070302","12:02:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB126",-33.56669549,115.2287952,"20070302","12:22:00","Geographe.Bay","Geographe.Bay","26",NA,"Yes","No",NA,NA,"Habitat Protection Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB128",-33.56540445,115.2369006,"20070302","12:12:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","No",NA,NA,"Multiple Use Zone",NA,"Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB134",-33.56169981,115.1354977,"20070303","09:10:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB145",-33.54539738,115.1344049,"20070303","09:29:00","Geographe.Bay","Geographe.Bay","28",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB168",-33.54850245,115.1340043,"20070303","09:24:00","Geographe.Bay","Geographe.Bay","29",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB173",-33.54690109,115.0834976,"20070303","11:24:00","Geographe.Bay","Geographe.Bay","28",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB192",-33.53959924,115.1130031,"20070303","10:55:00","Geographe.Bay","Geographe.Bay","31",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB199",-33.53719702,115.1109986,"20070303","10:59:00","Geographe.Bay","Geographe.Bay","30",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB221",-33.52649658,115.0889008,"20070303","11:15:00","Geographe.Bay","Geographe.Bay","33",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2007-03_Capes.MF_stereoBRUVs","MF-GB228",-33.5245989,115.090396,"20070303","11:11:00","Geographe.Bay","Geographe.Bay","34",NA,"Yes","No",NA,NA,NA,"General Use Zone (IUCN VI)","Fished"
"2014-12_Geographe.Bay_stereoBRUVs","1",-33.3635,115.2142,"2014-12-10","13:20:00","Geographe Bay","Geographe Bay","40","Hayley","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","2",-33.4405,115.101,"2014-12-10","06:29:00","Geographe Bay","Geographe Bay","40.5","Test video","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","3",-33.4921,115.3549,"2014-12-13","08:41:00","Geographe Bay","Geographe Bay","24.8","Hayley","Yes","Yes",NA,"3","Multiple Use Zone",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","4",-33.3921,115.2281,"2014-12-10","14:13:00","Geographe Bay","Geographe Bay","38.4","Hayley","Yes","Yes",NA,"2","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
"2014-12_Geographe.Bay_stereoBRUVs","5",-33.3628,115.455,"2014-12-11","09:43:00","Geographe Bay","Geographe Bay","25.7","test video","Yes","Yes",NA,"1","Special Purpose Zone (Mining Exclusion)",NA,"Fished"
