"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","state.zone","status"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",144.46541,1849.77934,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",176.07732,1755.00883,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",180.07156,1551.78754,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",117.94691,1213.18193,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",137.5431,1817.01075,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",159.93059,1875.64801,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",146.44481,1782.03412,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",176.78625,1815.74183,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",140.04416,1708.99952,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",140.62078,1713.79052,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",162.24288,1761.94825,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
"2014-12_Geographe.Bay_stereoBRUVs.10001","2014-12_Geographe.Bay_stereoBRUVs","10001","Carangidae","Pseudocaranx","spp",178.06729,1691.35258,-33.4217,115.3722,"2014-12-14","06:17:00","Geographe Bay","Geographe Bay","15.9","Logan","Yes","Yes","NA","4","Special Purpose Zone (Mining Exclusion)","NA","Fished"
