"campaignid","sample","latitude","longitude","date","time","location","site","depth","observer","successful.count","successful.length","raw.hdd.number","con.hdd.number","commonwealth.zone","status","broad.macroalgae","broad.seagrasses","broad.unconsolidated","broad.sponges","broad.consolidated","broad.stony.corals","broad.total.points.annotated","mean.relief","sd.relief"
"2007-2014-Geographe-stereo-BRUVs","MF-GB018",-33.60790427,115.1973991,"20070302","11:23:00","Geographe.Bay","Geographe.Bay","13",NA,"Yes","Yes",NA,NA,NA,"Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB019",-33.6076042,115.2028047,"20070302","12:56:00","Geographe.Bay","Geographe.Bay","13",NA,"Yes","Yes",NA,NA,NA,"Fished",9,0,1,0,0,0,10,1.66666666666667,0.816496580927726
"2007-2014-Geographe-stereo-BRUVs","MF-GB036",-33.59150085,115.2475977,"20070302","13:34:00","Geographe.Bay","Geographe.Bay","18",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB037",-33.59039751,115.2511973,"20070302","13:22:00","Geographe.Bay","Geographe.Bay","17",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB044",-33.57129911,115.1604992,"20070302","15:26:00","Geographe.Bay","Geographe.Bay","25",NA,"Yes","Yes",NA,NA,NA,"Fished",5,0,5,0,0,0,10,1,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB047",-33.59060326,115.1982978,"20070302","13:04:00","Geographe.Bay","Geographe.Bay","19",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",0,10,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB057",-33.57690392,115.1140983,"20070303","08:06:00","Geographe.Bay","Geographe.Bay","18",NA,"Yes","Yes",NA,NA,NA,"Fished",0,10,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB058",-33.57589923,115.1179985,"20070303","08:57:00","Geographe.Bay","Geographe.Bay","19",NA,"Yes","Yes",NA,NA,NA,"Fished",10,0,0,0,0,0,10,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB061",-33.58139618,115.1590998,"20070302","16:02:00","Geographe.Bay","Geographe.Bay","22",NA,"Yes","Yes",NA,NA,NA,"Fished",9,0,0,0,0,0,9,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB064",-33.58179718,115.1880948,"20070302","16:36:00","Geographe.Bay","Geographe.Bay","22",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",0,6,0,0,0,0,6,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB074",-33.57319811,115.1164951,"20070303","09:02:00","Geographe.Bay","Geographe.Bay","20",NA,"Yes","Yes",NA,NA,NA,"Fished",2,0,8,0,0,0,10,0.9,0.737864787372622
"2007-2014-Geographe-stereo-BRUVs","MF-GB077",-33.56839999,115.1378959,"20070302","15:40:00","Geographe.Bay","Geographe.Bay","25",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0.1,0.316227766016838
"2007-2014-Geographe-stereo-BRUVs","MF-GB080",-33.57639775,115.2168001,"20070302","14:11:00","Geographe.Bay","Geographe.Bay","23",NA,"Yes","Yes",NA,NA,"Habitat Protection Zone","Fished",0,8,2,0,0,0,10,1.6,0.843274042711568
"2007-2014-Geographe-stereo-BRUVs","MF-GB091",-33.55389636,115.1479006,"20070303","09:17:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","Yes",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB109",-33.55410455,115.0939042,"20070303","09:52:00","Geographe.Bay","Geographe.Bay","27",NA,"Yes","No",NA,NA,NA,"Fished",0,0,10,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB113",-33.56969737,115.2362963,"20070302","12:02:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","Yes",NA,NA,"Multiple Use Zone","Fished",14,0,0,1,0,0,15,2,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB128",-33.56540445,115.2369006,"20070302","12:12:00","Geographe.Bay","Geographe.Bay","24",NA,"Yes","No",NA,NA,"Multiple Use Zone","Fished",4,0,6,0,0,0,10,0,0
"2007-2014-Geographe-stereo-BRUVs","MF-GB145",-33.54539738,115.1344049,"20070303","09:29:00","Geographe.Bay","Geographe.Bay","28",NA,"Yes","Yes",NA,NA,NA,"Fished",0,4,6,0,0,0,10,0.6,0.843274042711568
