"campaignid","sample","latitude_dd","longitude_dd","location","site","depth_m","observer_count","successful_count","successful_length","status","observer_length","date_time"
"2014-12_Geographe.Bay_stereoBRUVs","1",-33.3635,115.2142,"Geographe Bay","Geographe Bay",40,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T13:20:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","2",-33.4405,115.101,"Geographe Bay","Geographe Bay",40.5,"Test video","Yes","Yes","Fished","Unknown","2014-12-10T06:29:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","3",-33.4921,115.3549,"Geographe Bay","Geographe Bay",24.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-13T08:41:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","4",-33.3921,115.2281,"Geographe Bay","Geographe Bay",38.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T14:13:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","5",-33.3628,115.455,"Geographe Bay","Geographe Bay",25.7,"test video","Yes","Yes","Fished","Unknown","2014-12-11T09:43:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","6",-33.4071,115.1204,"Geographe Bay","Geographe Bay",41.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T07:55:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","7",-33.4205,115.4457,"Geographe Bay","Geographe Bay",23.2,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T11:04:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","9",-33.3643,115.1361,"Geographe Bay","Geographe Bay",41.8,"Molly","Yes","No","Fished","Unknown","2014-12-10T10:04:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","10",-33.5282,115.3313,"Geographe Bay","Geographe Bay",22.7,"Hayley","Yes","No","Fished","Unknown","2014-12-12T10:48:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","11",-33.5712,115.2958,"Geographe Bay","Geographe Bay",21.7,"Hayley","Yes","Yes","Fished","Unknown","2014-12-12T08:59:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","12",-33.404,115.2616,"Geographe Bay","Geographe Bay",38.7,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T14:00:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","13",-33.4502,115.0925,"Geographe Bay","Geographe Bay",42.4,"Hayley","Yes","Yes","Fished","Unknown","2014-12-09T13:41:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","14",-33.5297,115.413,"Geographe Bay","Geographe Bay",13.2,"Logan","Yes","Yes","Fished","Unknown","2014-12-13T05:56:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","15",-33.5782,115.2148,"Geographe Bay","Geographe Bay",26.2,"Logan","Yes","Yes","Fished","Unknown","2014-12-12T06:27:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","16",-33.3889,115.4986,"Geographe Bay","Geographe Bay",20,"Hayley","Yes","Yes","Fished","Unknown","2014-12-11T12:21:00+08:00"
"2014-12_Geographe.Bay_stereoBRUVs","17",-33.3636,115.2327,"Geographe Bay","Geographe Bay",38.8,"Hayley","Yes","Yes","Fished","Unknown","2014-12-10T13:27:00+08:00"
