campaignid,opcode,status,longitude_dd,latitude_dd,observer_count,observer_length,date_time,location,site,depth_m,successful_count,successful_length,successful_habitat_forward,successful_habitat_backward,observer_habitat_forward,observer_habitat_backward
2014-12_Geographe-bay_stereo-BRUVs,1,NA,115.2142,-33.3635,Hayley,Molly,2014-12-10T13:20:00+08:00,Geographe Bay,Geographe Bay,40,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,2,NA,115.101,-33.4405,Test video,Molly,2014-12-10T06:29:00+08:00,Geographe Bay,Geographe Bay,40.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,3,NA,115.3549,-33.4921,Hayley,Molly,2014-12-13T08:41:00+08:00,Geographe Bay,Geographe Bay,24.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,4,NA,115.2281,-33.3921,Hayley,Molly,2014-12-10T14:13:00+08:00,Geographe Bay,Geographe Bay,38.4,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,5,NA,115.455,-33.3628,test video,Molly,2014-12-11T09:43:00+08:00,Geographe Bay,Geographe Bay,25.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,6,NA,115.1204,-33.4071,Hayley,Molly,2014-12-10T07:55:00+08:00,Geographe Bay,Geographe Bay,41.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,7,NA,115.4457,-33.4205,Logan,Molly,2014-12-13T11:04:00+08:00,Geographe Bay,Geographe Bay,23.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,9,NA,115.1361,-33.3643,Molly,N/A,2014-12-10T10:04:00+08:00,Geographe Bay,Geographe Bay,41.8,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,10,NA,115.3313,-33.5282,Hayley,Molly,2014-12-12T10:48:00+08:00,Geographe Bay,Geographe Bay,22.7,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,11,NA,115.2958,-33.5712,Hayley,Molly,2014-12-12T08:59:00+08:00,Geographe Bay,Geographe Bay,21.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,12,NA,115.2616,-33.404,Hayley,Molly,2014-12-10T14:00:00+08:00,Geographe Bay,Geographe Bay,38.7,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,13,NA,115.0925,-33.4502,Hayley,Molly,2014-12-09T13:41:00+08:00,Geographe Bay,Geographe Bay,42.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,14,NA,115.413,-33.5297,Logan,Molly,2014-12-13T05:56:00+08:00,Geographe Bay,Geographe Bay,13.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,15,NA,115.2148,-33.5782,Logan,Molly,2014-12-12T06:27:00+08:00,Geographe Bay,Geographe Bay,26.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,16,NA,115.4986,-33.3889,Hayley,Molly,2014-12-11T12:21:00+08:00,Geographe Bay,Geographe Bay,20,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,17,NA,115.2327,-33.3636,Hayley,Molly,2014-12-10T13:27:00+08:00,Geographe Bay,Geographe Bay,38.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,18,NA,115.0981,-33.3926,Hayley,Molly,2014-12-10T07:44:00+08:00,Geographe Bay,Geographe Bay,42.4,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,19,NA,115.3618,-33.4605,Logan,Molly,2014-12-13T10:33:00+08:00,Geographe Bay,Geographe Bay,26,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,20,NA,115.2221,-33.4339,Hayley,Molly,2014-12-10T11:09:00+08:00,Geographe Bay,Geographe Bay,36,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,21,NA,115.3977,-33.3857,NA,NA,2014-12-14T06:54:00+08:00,Geographe Bay,Geographe Bay,15.7,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,22,NA,115.1807,-33.5746,test video,Molly,2014-12-09T07:10:00+08:00,Geographe Bay,Geographe Bay,22.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,23_old,NA,115.4289,-33.5042,NA,NA,2014-12-13T06:13:00+08:00,Geographe Bay,Geographe Bay,13.6,No,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,23,NA,115.4289,-33.5042,Hayley,Molly,2014-12-16T11:29:00+08:00,Geographe Bay,Geographe Bay,13.6,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,24,NA,115.2862,-33.4712,Hayley,Molly,2014-12-09T06:05:00+08:00,Geographe Bay,Geographe Bay,29.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,25,NA,115.0828,-33.3833,Hayley,Molly,2014-12-10T07:10:00+08:00,Geographe Bay,Geographe Bay,42.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,26,NA,115.3236,-33.55,Hayley,Molly,2014-12-12T11:02:00+08:00,Geographe Bay,Geographe Bay,20.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,27,NA,115.1884,-33.5464,Hayley,Molly,2014-12-09T07:00:00+08:00,Geographe Bay,Geographe Bay,28.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,28,NA,115.2873,-33.4272,Hayley,Molly,2014-12-11T07:07:00+08:00,Geographe Bay,Geographe Bay,34,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,29,NA,115.1764,-33.487,Hayley,Molly,2014-12-09T10:30:00+08:00,Geographe Bay,Geographe Bay,34.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,30,NA,115.3341,-33.4241,Hayley,Molly,2014-12-11T06:37:00+08:00,Geographe Bay,Geographe Bay,31.8,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,31,NA,115.2369,-33.5986,Logan,Molly,2014-12-12T05:55:00+08:00,Geographe Bay,Geographe Bay,26.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,32,NA,115.4621,-33.4808,Hayley,Molly,2014-12-13T07:53:00+08:00,Geographe Bay,Geographe Bay,14.1,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,33,NA,115.3205,-33.3528,Molly,N/A,2014-12-11T08:54:00+08:00,Geographe Bay,Geographe Bay,34.1,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,34,NA,115.0739,-33.3845,Lizzy,N/A,2014-12-10T07:05:00+08:00,Geographe Bay,Geographe Bay,43,Yes,No,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,35,NA,115.4157,-33.4055,Logan,Molly,2014-12-13T11:14:00+08:00,Geographe Bay,Geographe Bay,27.9,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,36,NA,115.2077,-33.4269,Hayley,Molly,2014-12-10T11:17:00+08:00,Geographe Bay,Geographe Bay,38.2,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,37,NA,115.3721,-33.3585,Hayley,Molly,2014-12-11T09:11:00+08:00,Geographe Bay,Geographe Bay,30.3,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,38,NA,115.1274,-33.5037,Hayley,Molly,2014-12-09T12:45:00+08:00,Geographe Bay,Geographe Bay,34.5,Yes,Yes,NA,NA,NA,NA
2014-12_Geographe-bay_stereo-BRUVs,39,NA,115.4329,-33.465,Hayley,Molly,2014-12-11T13:20:00+08:00,Geographe Bay,Geographe Bay,19.8,Yes,Yes,NA,NA,NA,NA
